timestamp,moisture,weather_prediction,total_rain
"2023-08-01 23:59:59",0.215,45,1.5
"2023-08-02 23:59:59",0.312,62,2.7
"2023-08-03 23:59:59",0.128,15,0.3
"2023-08-04 23:59:59",0.475,81,3.8
"2023-08-05 23:59:59",0.056,8,0.7
"2023-08-06 23:59:59",0.587,72,4.2
"2023-08-07 23:59:59",0.198,29,1.1
"2023-08-08 23:59:59",0.432,56,2.5
"2023-08-09 23:59:59",0.149,18,0.8
"2023-08-10 23:59:59",0.509,65,3.4
"2023-08-11 23:59:59",0.237,41,1.9
"2023-08-12 23:59:59",0.359,53,2.9
"2023-08-13 23:59:59",0.087,10,0.5
"2023-08-14 23:59:59",0.631,88,5.0
